      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    795.05757306      -0.00171062
    795.19018545       0.00220989
    795.32281996       0.01027861
    795.45547659       0.00244076
    795.58815535      -0.00827378
    795.72085623       0.00789873
    795.85357926       0.00375401
    795.98632441      -0.00160130
    796.11909171       0.00298538
    796.25188116       0.00517719
    796.38469275       0.00100477
    796.51752650      -0.00272084
    796.65038240      -0.00229821
    796.78326047       0.01134626
    796.91616069       0.01032950
    797.04908309       0.01744326
    797.18202765      -0.02209483
    797.31499439      -0.01634848
    797.44798331      -0.00497313
    797.58099440       0.00115829
    797.71402769       0.01222167
    797.84708316       0.00559816
    797.98016083       0.02323309
    798.11326070       0.01901088
    798.24638276       0.00771528
    798.37952703      -0.00139533
    798.51269351      -0.00029388
    798.64588219      -0.00055439
    798.77909310      -0.00912888
    798.91232622       0.00741555
    799.04558157       0.00058880
    799.17885914       0.00590554
    799.31215894      -0.00594820
    799.44548098       0.00179296
    799.57882525      -0.01112586
    799.71219177      -0.00192157
    799.84558053      -0.00567061
    799.97899153      -0.00429052
    800.11242480       0.00104740
    800.24588031      -0.00363404
    800.37935809       0.00077052
    800.51285813       0.00216037
    800.64638044       0.01161367
    800.77992502      -0.01041530
    800.91349187      -0.00281595
    801.04708100       0.00382029
    801.18069242       0.00490975
    801.31432612       0.01367012
    801.44798211       0.00606667
    801.58166039      -0.00663811
    801.71536097       0.00309559
    801.84908385      -0.00343838
    801.98282903       0.00821602
    802.11659653       0.00674938
    802.25038633       0.00530993
    802.38419845      -0.00170285
    802.51803289       0.00303051
    802.65188966       0.00135933
    802.78576874      -0.00105133
    802.91967017       0.01461328
    803.05359392      -0.00013891
    803.18754001       0.00406181
    803.32150845      -0.00063381
    803.45549923      -0.00116061
    803.58951235       0.01822227
    803.72354783       0.00670338
    803.85760567       0.01527952
    803.99168587       0.00479396
    804.12578843       0.00739632
    804.25991336       0.00458831
    804.39406066       0.01242309
    804.52823034       0.00479013
    804.66242240       0.00585809
    804.79663684       0.01130038
    804.93087366       0.02010777
    805.06513288       0.01490098
    805.19941448       0.00493293
    805.33371849      -0.00132234
    805.46804490       0.00904448
    805.60239371      -0.00070311
    805.73676493      -0.00363554
    805.87115857       0.00676837
    806.00557462       0.00164962
    806.14001309       0.00004189
    806.27447398       0.00451419
    806.40895731       0.00134115
    806.54346306       0.00270967
    806.67799125      -0.00423171
    806.81254187       0.00710309
    806.94711494       0.00162890
    807.08171046       0.00940664
    807.21632843       0.01737548
    807.35096885       0.00354321
    807.48563172       0.00174707
    807.62031706      -0.00026930
    807.75502486       0.01054084
    807.88975514       0.01153924
    808.02450788       0.01361074
    808.15928310       0.00545967
    808.29408080      -0.00303218
    808.42890099       0.00836298
    808.56374366       0.00004219
    808.69860882      -0.00324558
    808.83349648       0.00916620
    808.96840664       0.00511532
    809.10333930       0.00669254
    809.23829446       0.00170001
    809.37327214       0.00857696
    809.50827233       0.00948878
    809.64329503       0.00334797
    809.77834026      -0.00270503
    809.91340801      -0.00554330
    810.04849829      -0.00944171
    810.18361111       0.00234053
    810.31874646       0.00064455
    810.45390435       0.00815677
    810.58908478       0.00651583
    810.72428776       0.00187047
    810.85951330       0.00588124
    810.99476139      -0.00886510
    811.13003203      -0.00186848
    811.26532524       0.00167045
    811.40064102       0.00418940
    811.53597936       0.00938774
    811.67134028       0.00911881
    811.80672378       0.00456785
    811.94212986      -0.00778432
    812.07755852      -0.00117128
    812.21300978       0.00688733
    812.34848362       0.00194244
    812.48398007      -0.00144707
    812.61949911      -0.00326883
    812.75504076      -0.00140347
    812.89060501      -0.00154276
    813.02619188      -0.00007834
    813.16180136       0.00934683
    813.29743346       0.00709161
    813.43308818       0.00019658
    813.56876553      -0.00072320
    813.70446551      -0.00979390
    813.84018813       0.00348098
    813.97593338       0.00174999
    814.11170127      -0.00435114
    814.24749181       0.00827597
    814.38330500       0.00130473
    814.51914084       0.01377208
    814.65499934      -0.00013517
    814.79088050      -0.00608927
    814.92678433       0.00299219
    815.06271082      -0.00669331
    815.19865998      -0.00186017
    815.33463182       0.00347436
    815.47062634       0.00824255
    815.60664355       0.00046269
    815.74268344       0.00446697
    815.87874602      -0.00455423
    816.01483129       0.00623942
    816.15093927       0.00278260
    816.28706995      -0.00313966
    816.42322333      -0.00117511
    816.55939942      -0.00017956
    816.69559823      -0.00412060
    816.83181975      -0.00326944
    816.96806400       0.00665926
    817.10433096       0.00049805
    817.24062066      -0.00608447
    817.37693309      -0.00069118
    817.51326826      -0.00319102
    817.64962617       0.00319497
    817.78600682       0.00377829
    817.92241022      -0.00291097
    818.05883637      -0.00268152
    818.19528528      -0.00161455
    818.33175694      -0.00429193
    818.46825137       0.00402280
    818.60476856      -0.00102030
    818.74130853      -0.01050232
    818.87787127       0.00350655
    819.01445679       0.00551965
    819.15106509       0.00056565
    819.28769617      -0.00926404
    819.42435005       0.00012510
    819.56102672       0.00505952
    819.69772618       0.00424749
    819.83444845       0.00771117
    819.97119352       0.00364791
    820.10796140       0.00377389
    820.24475209       0.00375541
    820.38156560      -0.00141800
    820.51840193      -0.00445747
    820.65526108       0.00177288
    820.79214306       0.01278964
    820.92904787       0.00281966
    821.06597551       0.00177153
    821.20292600       0.00156918
    821.33989933       0.01037455
    821.47689550       0.00212401
    821.61391452       0.01008743
    821.75095640       0.00303518
    821.88802114       0.01861619
    822.02510874       0.00074910
    822.16221920       0.01279528
    822.29935254       0.01104866
    822.43650874      -0.00471874
    822.57368783       0.00822535
    822.71088979       0.00264435
    822.84811464       0.01089881
    822.98536238       0.00408747
    823.12263301       0.01193310
    823.25992654       0.00524904
    823.39724296       0.00328499
    823.53458230       0.00002323
    823.67194453      -0.00690314
    823.80932968       0.00099227
    823.94673775       0.00123109
    824.08416873       0.00303258
    824.22162264       0.00357966
    824.35909947       0.01712737
    824.49659924       0.00576384
    824.63412194       0.01430894
    824.77166757       0.00716855
    824.90923615      -0.00889822
    825.04682768      -0.01190062
    825.18444215      -0.00030213
    825.32207958       0.00011370
    825.45973997       0.00809883
    825.59742331       0.00193794
    825.73512963       0.00278321
    825.87285891      -0.00557338
    826.01061116       0.00325158
    826.14838639      -0.00251720
    826.28618460      -0.00322380
    826.42400580       0.00494163
    826.56184998       0.00092802
    826.69971715      -0.00163037
    826.83760732       0.00730281
    826.97552049      -0.00552145
    827.11345667      -0.00598804
    827.25141585       0.00599938
    827.38939804      -0.00014613
    827.52740324      -0.00475261
    827.66543147      -0.00175150
    827.80348271       0.00888983
