      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    781.19323448       0.01017985
    781.32353436      -0.01413318
    781.45385596       0.00388824
    781.58419931       0.00605226
    781.71456439       0.00103801
    781.84495122       0.01241867
    781.97535980       0.02242173
    782.10579012       0.02357150
    782.23624221       0.01115547
    782.36671605       0.02779609
    782.49721165       0.01650528
    782.62772902       0.03091971
    782.75826817       0.01027764
    782.88882908      -0.01361102
    783.01941177      -0.01382414
    783.15001624      -0.00594880
    783.28064250       0.00439490
    783.41129054       0.01082581
    783.54196038      -0.00090976
    783.67265201       0.00802233
    783.80336544      -0.01241855
    783.93410067       0.00934475
    784.06485771       0.00338063
    784.19563656      -0.00339161
    784.32643722      -0.01167182
    784.45725970       0.02266967
    784.58810399       0.02145617
    784.71897012       0.03025154
    784.84985807       0.01284313
    784.98076785       0.01235934
    785.11169947      -0.01146931
    785.24265293       0.00292503
    785.37362823       0.00426954
    785.50462537       0.01456301
    785.63564437       0.00197630
    785.76668522       0.01557772
    785.89774792       0.00920761
    786.02883249       0.01235556
    786.15993892       0.02090154
    786.29106722       0.02873982
    786.42221739       0.00190320
    786.55338943       0.01211313
    786.68458336       0.00211071
    786.81579917       0.01059981
    786.94703686       0.00590143
    787.07829644       0.01326070
    787.20957792       0.02558020
    787.34088130       0.02438359
    787.47220657       0.03575440
    787.60355375       0.01081594
    787.73492284      -0.02074999
    787.86631384       0.00355031
    787.99772676       0.00595152
    788.12916159      -0.01223053
    788.26061835       0.00565581
    788.39209703       0.00273914
    788.52359764       0.00240509
    788.65512019       0.03419396
    788.78666468       0.00981556
    788.91823110       0.00248558
    789.04981947       0.00453595
    789.18142979      -0.00221033
    789.31306207       0.00471070
    789.44471629       0.01611652
    789.57639248      -0.00446935
    789.70809063      -0.02243945
    789.83981075      -0.00997544
    789.97155283      -0.00392736
    790.10331689       0.00903632
    790.23510293      -0.00036064
    790.36691095       0.00057257
    790.49874096      -0.00920405
    790.63059295       0.00167104
    790.76246694       0.00624779
    790.89436292       0.00224369
    791.02628090       0.02895820
    791.15822088       0.00707907
    791.29018288       0.03025142
    791.42216688       0.00605505
    791.55417290       0.01082763
    791.68620093       0.02097211
    791.81825099       0.00565642
    791.95032307       0.02039853
    792.08241718       0.02367963
    792.21453333       0.02472956
    792.34667151       0.00212221
    792.47883173       0.01852264
    792.61101399       0.01687829
    792.74321831       0.00072466
    792.87544467       0.00157003
    793.00769309       0.00132367
    793.13996356       0.00958149
    793.27225610       0.00926766
    793.40457071       0.00509099
    793.53690738       0.00565226
    793.66926613       0.01796826
    793.80164695      -0.00169451
    793.93404986      -0.01664910
    794.06647485      -0.02124491
    794.19892193       0.00411680
    794.33139109      -0.00895149
    794.46388236      -0.00794233
    794.59639572      -0.00538616
    794.72893119       0.00562362
    794.86148876       0.01811193
    794.99406844       0.00413699
    795.12667024       0.00673705
    795.25929415       0.01314277
    795.39194019       0.00953063
    795.52460835       0.00282635
    795.65729863       0.02194774
    795.79001105       0.01795331
    795.92274561       0.00972121
    796.05550231       0.02428954
    796.18828115       0.01268043
    796.32108213       0.01518740
    796.45390527      -0.00336991
    796.58675056       0.00247790
    796.71961801       0.00282211
    796.85250762       0.00569194
    796.98541939       0.02130121
    797.11835334       0.01445539
    797.25130946       0.00251401
    797.38428775       0.00494103
    797.51728823       0.00910669
    797.65031089      -0.00730730
    797.78335573      -0.00126036
    797.91642277       0.00438115
    798.04951200       0.01328486
    798.18262344       0.00852240
    798.31575707       0.00258061
    798.44891291       0.01032303
    798.58209096       0.00654492
    798.71529122       0.00901623
    798.84851370      -0.00193888
    798.98175841       0.00895488
    799.11502533       0.00159940
    799.24831449       0.00830634
    799.38162588       0.00501125
    799.51495950       0.01304301
    799.64831536      -0.00382646
    799.78169347       0.00299980
    799.91509382       0.02635595
    800.04851642       0.00218626
    800.18196128      -0.00096725
    800.31542840       0.00224696
    800.44891777       0.00675446
    800.58242942       0.00111766
    800.71596333       0.00119663
    800.84951951       0.02011502
    800.98309797       0.01780828
    801.11669872      -0.00046876
    801.25032174       0.00643681
    801.38396706       0.01459822
    801.51763466      -0.00668985
    801.65132456       0.01074111
