      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    861.74242050       0.00176419
    861.88615565       0.00023322
    862.02991478      -0.00124502
    862.17369788       0.00177845
    862.31750497       0.00540878
    862.46133604       0.00100529
    862.60519110       0.00162954
    862.74907016       0.00329568
    862.89297322      -0.00305306
    863.03690028       0.00071293
    863.18085134       0.00303839
    863.32482642       0.00282638
    863.46882551      -0.00043821
    863.61284862       0.00248257
    863.75689575       0.00233888
    863.90096690       0.00000349
    864.04506209       0.00120230
    864.18918132       0.00366763
    864.33332458       0.00325964
    864.47749188       0.00243639
    864.62168323      -0.00014851
    864.76589863       0.00168061
    864.91013809      -0.00022726
    865.05440160       0.00311186
    865.19868918       0.00015342
    865.34300082      -0.00563585
    865.48733653      -0.00247290
    865.63169632       0.00040321
    865.77608019      -0.00160665
    865.92048814       0.00107145
    866.06492017       0.00450382
    866.20937630       0.00178816
    866.35385652       0.00000408
    866.49836084       0.00067758
    866.64288926       0.00643793
    866.78744179       0.00130142
    866.93201843       0.00470647
    867.07661919       0.00337157
    867.22124406       0.00759558
    867.36589306       0.00264157
    867.51056618       0.00499084
    867.65526344       0.00048425
    867.79998483      -0.00377797
    867.94473036      -0.00127333
    868.08950003      -0.00220198
    868.23429385      -0.00012523
    868.37911182      -0.00131294
    868.52395394       0.00450633
    868.66882022       0.00136019
    868.81371067       0.00298945
    868.95862529       0.00095514
    869.10356407       0.00257286
    869.24852703       0.00190891
    869.39351417       0.00238734
    869.53852549       0.00083585
    869.68356100       0.00025462
    869.82862070       0.00514979
    869.97370460       0.00124739
    870.11881270       0.00318768
    870.26394500      -0.00221591
    870.40910150      -0.00009794
    870.55428222       0.00024336
    870.69948716       0.00073639
    870.84471631       0.00026813
    870.98996969       0.00173475
    871.13524729       0.00169980
    871.28054913       0.00119871
    871.42587520       0.00063521
    871.57122551       0.00653538
    871.71660007       0.00316983
    871.86199888       0.00029874
    872.00742193       0.00558852
    872.15286924       0.00537401
    872.29834082       0.00239163
    872.44383665       0.00268284
    872.58935676       0.00180443
    872.73490113      -0.00475931
    872.88046978      -0.00263222
